time,baromabs,baromrel,batt1,beaufortscale,dewpoint,drain_piezo,erain_piezo,feelslike,frostpoint,frostrisk,gain10_piezo,gain20_piezo,gain30_piezo,gain40_piezo,gain50_piezo,heap,heatindex,hrain_piezo,humidex,humidex_perception,humidity,humidity1,humidityabs,humidityabsin,humidityin,interval,maxdailygust,mrain_piezo,relative_strain_index,relative_strain_index_perception,rrain_piezo,runtime,safe_exposure_time_skin_type_1,safe_exposure_time_skin_type_2,safe_exposure_time_skin_type_3,safe_exposure_time_skin_type_4,safe_exposure_time_skin_type_5,safe_exposure_time_skin_type_6,simmerindex,simmerzone,soilbatt1,soilbatt2,soilmoisture1,soilmoisture2,solarradiation,solarradiation_perceived,temp,temp1,tempin,tf_batt1,tf_ch1,thermalperception,uv,wh25batt,wh90batt,windchill,winddir,windgust,windspeed,wrain_piezo,ws90_ver,ws90cap_volt,yrain_piezo
2024-04-14T09:57:02.645254Z,1015.9843198751066,1015.9843198751066,OFF,0.0,6.515553454338499,0.0,0.0,16.38888888888889,4.366535949967895,No risk,1.15,1.1,1.4,1.1,1.2,25712.0,15.441111111111113,0.0,16.0,Comfortable,52.0,55.0,7.2501832088712375,7.2501832088712375,52.0,60.0,17.638410240000002,25.0952,,,0.0,2849849.0,55.6,66.7,88.9,111.1,177.8,288.9,,,1.4,1.4,0.0,0.0,392.66,93.92779141915281,16.38888888888889,22.11111111111111,21.222222222222225,,,Dry,3.0,OFF,2.72,,249.0,4.6831910400000005,0.0,0.3048,130.0,5.3,126.49200000000002
2024-04-14T09:58:03.629180Z,1016.187503193527,1016.187503193527,OFF,1.0,6.720910905557515,0.0,0.0,16.61111111111111,4.539750301081201,No risk,1.15,1.1,1.4,1.1,1.2,25712.0,15.685555555555556,0.0,17.0,Comfortable,52.0,55.0,7.347819951307798,7.347819951307798,52.0,60.0,17.638410240000002,25.0952,,,0.0,2849910.0,55.6,66.7,88.9,111.1,177.8,288.9,,,1.4,1.4,0.0,0.0,397.87,94.04228205258806,16.61111111111111,22.22222222222222,21.222222222222225,,,Dry,3.0,OFF,2.72,,320.0,3.6049305600000006,2.88072576,0.3048,130.0,5.3,126.49200000000002
2024-04-14T09:59:04.650084Z,1016.187503193527,1016.187503193527,OFF,1.0,6.541356080457892,0.0,0.0,16.72222222222222,4.344093825043104,No risk,1.15,1.1,1.4,1.1,1.2,25712.0,15.781666666666665,0.0,17.0,Comfortable,51.0,55.0,7.254813664907629,7.254813664907629,52.0,60.0,17.638410240000002,25.0952,,,0.0,2849971.0,55.6,66.7,88.9,111.1,177.8,288.9,,,1.4,1.4,0.0,0.0,419.65,94.50520272317365,16.72222222222222,22.22222222222222,21.222222222222225,,,Dry,3.0,OFF,2.72,,244.0,8.64217728,3.6049305600000006,0.3048,130.0,5.3,126.49200000000002
2024-04-14T10:00:05.651051Z,1015.9843198751066,1015.9843198751066,OFF,1.0,6.592573676144921,0.0,0.0,16.77777777777778,4.387253068781377,No risk,1.15,1.1,1.4,1.1,1.2,25712.0,15.84277777777778,0.0,17.0,Comfortable,51.0,55.0,7.2790678263064486,7.2790678263064486,52.0,60.0,17.638410240000002,25.0952,,,0.0,2850032.0,55.6,66.7,88.9,111.1,177.8,288.9,,,1.4,1.4,0.0,0.0,369.38,93.39692571339627,16.77777777777778,22.11111111111111,21.222222222222225,,,Dry,3.0,OFF,2.72,,18.0,8.64217728,2.5266700799999997,0.3048,130.0,5.3,126.49200000000002
2024-04-14T10:01:06.665673Z,1016.0859115343169,1016.0859115343169,OFF,0.0,6.977588273786526,0.0,0.0,16.88888888888889,4.756135907774706,No risk,1.15,1.1,1.4,1.1,1.2,25568.0,15.991111111111113,0.0,17.0,Comfortable,52.0,55.0,7.471469484579351,7.471469484579351,52.0,60.0,17.638410240000002,25.0952,,,0.0,2850093.0,55.6,66.7,88.9,111.1,177.8,288.9,,,1.4,1.4,0.0,0.0,393.92,93.95561879921561,16.88888888888889,22.22222222222222,21.222222222222225,,,Dry,3.0,OFF,2.72,,218.0,5.03724672,0.0,0.3048,130.0,5.3,126.49200000000002
2024-04-14T10:02:07.678405Z,1016.0859115343169,1016.0859115343169,OFF,1.0,6.977588273786526,0.0,0.0,16.88888888888889,4.756135907774706,No risk,1.15,1.1,1.4,1.1,1.2,25712.0,15.991111111111113,0.0,17.0,Comfortable,52.0,55.0,7.471469484579351,7.471469484579351,52.0,60.0,17.638410240000002,25.0952,,,0.0,2850154.0,55.6,66.7,88.9,111.1,177.8,288.9,,,1.4,1.4,0.0,0.0,330.23,92.42378866493938,16.88888888888889,22.11111111111111,21.222222222222225,,,Dry,3.0,OFF,2.72,,295.0,5.76145152,2.15652096,0.3048,130.0,5.3,126.49200000000002
2024-04-14T10:03:08.679018Z,1016.187503193527,1016.187503193527,OFF,1.0,6.6950062071484115,0.0,0.0,16.88888888888889,4.473553841136662,No risk,1.15,1.1,1.4,1.1,1.2,25712.0,15.965,0.0,17.0,Comfortable,51.0,55.0,7.32778737910667,7.32778737910667,52.0,60.0,17.638410240000002,25.0952,,,0.0,2850215.0,83.3,100.0,133.3,166.7,266.7,433.3,,,1.4,1.4,0.0,0.0,314.92,92.01146302959081,16.88888888888889,22.22222222222222,21.222222222222225,,,Dry,2.0,OFF,2.72,,284.0,7.91797248,2.15652096,0.3048,130.0,5.3,126.49200000000002
2024-04-14T10:04:09.700779Z,1016.187503193527,1016.187503193527,OFF,1.0,6.6950062071484115,0.0,0.0,16.88888888888889,4.473553841136662,No risk,1.15,1.1,1.4,1.1,1.2,25712.0,15.965,0.0,17.0,Comfortable,51.0,55.0,7.32778737910667,7.32778737910667,52.0,60.0,17.638410240000002,25.0952,,,0.0,2850276.0,83.3,100.0,133.3,166.7,266.7,433.3,,,1.4,1.4,0.0,0.0,302.92,91.67401713724267,16.88888888888889,22.22222222222222,21.222222222222225,,,Dry,2.0,OFF,2.72,,234.0,7.91797248,6.1155072,0.3048,130.0,5.3,126.49200000000002
2024-04-14T10:05:10.702836Z,1015.9165921022999,1015.9165921022999,OFF,1.0,6.823584445490809,0.0,0.0,16.72222222222222,4.626322190075997,No risk,1.15,1.1,1.4,1.1,1.2,25712.0,15.807777777777778,0.0,17.0,Comfortable,52.0,55.0,7.397064913239151,7.397064913239151,52.0,60.0,17.638410240000002,25.0952,,,0.0,2850337.0,83.3,100.0,133.3,166.7,266.7,433.3,,,1.4,1.4,0.0,0.0,287.29,91.21386836055272,16.72222222222222,22.22222222222222,21.222222222222225,,,Dry,2.0,OFF,2.72,,185.0,9.72043776,2.15652096,0.3048,130.0,5.3,126.49200000000002
