time,baromabs,temp,feelslike,windspeed,humidity
2024-06-28T18:31:53.242922Z,1013.0042978716067,24.388888888888893,24.388888888888893,3.6049305600000006,41.0
2024-06-28T18:32:54.383547Z,1012.9027062123964,24.388888888888893,24.388888888888893,2.15652096,41.0
2024-06-28T18:33:55.467498Z,1013.2074811900272,24.27777777777778,24.27777777777778,2.15652096,41.0
2024-06-28T18:34:56.370458Z,1013.105889530817,24.27777777777778,24.27777777777778,2.15652096,41.0
2024-06-28T18:35:57.446026Z,1013.0042978716067,24.27777777777778,24.27777777777778,1.8024652800000003,41.0
2024-06-28T18:36:58.338786Z,1013.105889530817,24.27777777777778,24.27777777777778,1.8024652800000003,41.0
2024-06-28T18:37:59.344489Z,1013.2074811900272,24.222222222222218,24.222222222222218,0.0,41.0
2024-06-28T18:39:00.466486Z,1013.0042978716067,24.222222222222218,24.222222222222218,0.0,42.0
2024-06-28T18:40:01.281545Z,1013.3090728492373,24.222222222222218,24.222222222222218,0.0,42.0
2024-06-28T18:41:02.172274Z,1013.0042978716067,24.222222222222218,24.222222222222218,0.0,42.0
2024-06-28T18:42:03.288723Z,1012.8011145531863,24.111111111111114,24.111111111111114,0.0,42.0
2024-06-28T18:43:04.115132Z,1013.0042978716067,24.111111111111114,24.111111111111114,3.2347814399999995,42.0
2024-06-28T18:44:05.113180Z,1013.0042978716067,24.111111111111114,24.111111111111114,0.0,42.0
2024-06-28T18:45:06.091665Z,1013.105889530817,24.111111111111114,24.111111111111114,2.15652096,43.0
2024-06-28T18:46:07.108062Z,1013.0042978716067,24.0,24.0,2.15652096,43.0
2024-06-28T18:47:08.324497Z,1012.9027062123964,24.0,24.0,0.0,42.0
2024-06-28T18:48:09.189376Z,1012.9027062123964,24.0,24.0,0.0,43.0
2024-06-28T18:49:09.845729Z,1013.0042978716067,24.0,24.0,0.0,42.0
2024-06-28T18:50:10.912306Z,1013.0042978716067,24.0,24.0,2.88072576,42.0
2024-06-28T18:51:12.045055Z,1013.0042978716067,24.0,24.0,4.31304192,42.0
2024-06-28T18:52:13.013773Z,1012.9027062123964,24.0,24.0,2.88072576,42.0
2024-06-28T18:53:14.026665Z,1012.9027062123964,24.0,24.0,2.15652096,42.0
2024-06-28T18:54:14.998230Z,1013.105889530817,24.0,24.0,0.0,42.0
2024-06-28T18:55:16.148986Z,1012.9027062123964,24.0,24.0,2.15652096,42.0
2024-06-28T18:56:17.031248Z,1012.8011145531863,24.0,24.0,0.0,42.0
2024-06-28T18:57:17.969550Z,1013.2074811900272,24.0,24.0,2.5266700799999997,42.0
2024-06-28T18:58:19.023487Z,1013.2074811900272,24.0,24.0,1.8024652800000003,43.0
2024-06-28T18:59:19.990247Z,1013.105889530817,24.0,24.0,0.0,44.0
2024-06-28T19:00:20.941358Z,1013.105889530817,23.88888888888889,23.88888888888889,0.0,43.0
2024-06-28T19:01:22.161012Z,1013.0042978716067,23.88888888888889,23.88888888888889,2.5266700799999997,43.0
2024-06-28T19:02:23.138682Z,1013.105889530817,23.88888888888889,23.88888888888889,0.0,44.0
2024-06-28T19:03:24.343933Z,1013.0042978716067,23.777777777777775,23.777777777777775,0.0,44.0
2024-06-28T19:04:24.949220Z,1013.0042978716067,23.777777777777775,23.777777777777775,0.0,44.0
2024-06-28T19:05:26.080564Z,1013.2074811900272,23.722222222222225,23.722222222222225,1.8024652800000003,44.0
2024-06-28T19:06:27.053791Z,1013.3090728492373,23.722222222222225,23.722222222222225,0.0,44.0
2024-06-28T19:07:28.022892Z,1013.105889530817,23.61111111111111,23.61111111111111,0.0,44.0
2024-06-28T19:08:29.135832Z,1013.105889530817,23.61111111111111,23.61111111111111,1.8024652800000003,45.0
2024-06-28T19:09:30.045324Z,1013.105889530817,23.61111111111111,23.61111111111111,0.0,45.0
2024-06-28T19:10:31.053076Z,1013.2074811900272,23.499999999999996,23.499999999999996,3.2347814399999995,45.0
2024-06-28T19:11:32.282457Z,1013.105889530817,23.499999999999996,23.499999999999996,0.0,44.0
2024-06-28T19:12:33.203439Z,1013.3090728492373,23.499999999999996,23.499999999999996,0.0,45.0
2024-06-28T19:13:34.360708Z,1013.3090728492373,23.388888888888886,23.388888888888886,0.0,45.0
2024-06-28T19:14:35.142564Z,1013.4106645084476,23.388888888888886,23.388888888888886,3.95898624,45.0
2024-06-28T19:15:36.075273Z,1013.4106645084476,23.388888888888886,23.388888888888886,1.8024652800000003,45.0
2024-06-28T19:16:37.221074Z,1013.5122561676578,23.388888888888886,23.388888888888886,2.5266700799999997,45.0
2024-06-28T19:17:38.162282Z,1013.4106645084476,23.388888888888886,23.388888888888886,0.0,45.0
2024-06-28T19:18:39.327840Z,1013.4106645084476,23.277777777777782,23.277777777777782,0.0,46.0
2024-06-28T19:19:40.062083Z,1013.3090728492373,23.277777777777782,23.277777777777782,0.0,46.0
2024-06-28T19:20:41.176083Z,1013.3090728492373,23.277777777777782,23.277777777777782,1.8024652800000003,47.0
2024-06-28T19:21:42.138266Z,1013.3090728492373,23.22222222222222,23.22222222222222,0.0,47.0
2024-06-28T19:22:43.187903Z,1013.5122561676578,23.22222222222222,23.22222222222222,1.8024652800000003,47.0
2024-06-28T19:23:44.252548Z,1013.5122561676578,23.22222222222222,23.22222222222222,0.0,47.0
2024-06-28T19:24:45.359718Z,1013.4106645084476,23.111111111111107,23.111111111111107,0.0,47.0
2024-06-28T19:25:46.199821Z,1013.4106645084476,23.111111111111107,23.111111111111107,0.0,47.0
2024-06-28T19:26:47.169863Z,1013.7154394860783,23.111111111111107,23.111111111111107,0.0,47.0
